Text,Sentiment
"The room was a nice size, big enough for both my and my friend's huge suitcases to fit on the floor and for us to still move around.",positive
The hotel was very clean.,positive
"No kettle, had to use a coffee maker to boil water for tea which was tricky as it had to be rinsed through many times.",negative
Rooms were spotless and classy.,positive
The front entrance could use some curb appeal.,negative
"Bathroom was way too retro.......shower was very poor... no hand shower, poor water pressure and way too narrow.......It also had a plastic curtain which for a $650 dollar hotel room is way too nasty.",negative
extra small rooms.,negative
"Poor beds quality, very very noisy : would have been the same if we would have no windows.",negative
"The bathrooms have frosted glass walls,not private at all.",negative
Rooms are cold and you can't adjust the temperature and also heating works only a few hours in the morning.,negative
very loud construction noise out front of our window.,negative
The room was interior so no traffic noise.,positive
Room was noisy and cold.,negative
The air-con was too noisy to leave on for too long.,negative
still easy to reach.,positive
The front door didn't work so we had to pry it open.,negative
"clean and tidy.
",negative
"The bed is really terrible,especially the blanket is heavy and terrible terrible quality.",negative
Bathroom sink tap leaked and aircon didn't work properly,negative
We didn't like the mouse in the room.,negative
Decent room,positive
Loved the elegant art deco ambience.,positive
Broken tiles in shower.,negative
In the shower it was turned down as cold as it could be and it was still hotter than I would usually have it.,negative
Bed was hard and sheets were rough.,negative
"I loved that there was a coffee shop
underneath, and it closed at 12am every night, so that I can get my late
night coffee, if I wanted.",positive
Dimly lit.,negative
The towels had holes in them.,negative
The hotel  advertised AC as one of its amenities in its booking.com descriptions!,negative
The bed was super comfortable and the bathtub with jets was awesome too.,positive
We actually enjoyed how small our room was because we knew about it ahead of time and wanted to try something really different.,positive
"Bedding was changed once,",negative
"The same counts for the bathroom, especially the shower was great.",positive
The hotel has a rooftop with a hot tub which has an awesome view.,positive
It was quiet.,positive
"Rooms are small,",negative
The drapes could have fit the window.,negative
It was very not comfortable.,positive
Facilities were great.,positive
Just one bed so in your room you always have to sit on the bed.,negative
So there could have been more convenient outlets.,negative
The exercise room closest to my floor was filled with big screen TVs and sheets covering them.,negative
a bit tight to make people either pay or leave yr room.,negative
Shower was intense.,positive
"The bed was very comfortable, and room minimalist",positive
Rooms aren't very sound proof from hallway sounds.,negative
Cool design.,positive
"Our room was very spacious, especially for NYC.",positive
The main lobby is nice,positive
Carpets are coming unstitched.,negative
It was bigger so that was nice!,negative
Room was not cleaned even once during our stay.,negative
Room not what we ordered or prepaid for.,negative
"The room needed to be painted,",negative
"Sep 5-8 room 302
Room was too small, the shower pressure was good.",negative
"Very large for Manhattan with good sized bed, flat screen TV & ample closet.",positive
#NAME?,negative
Waited over 40 minutes to use shower.,negative
The lifts worked!,positive
Elevators tend to be slow...,negative
Crumbs from snacks were not cleaned up for 3 days!!,negative
the bathroom was a little dirty with hair at the walls,negative
"We had requested two queen beds and got a room with 1 queen and 2 twins, we were advised that there were not any other rooms and could put the (2) beds together, which we did and it was no issue as far as sleeping.",negative
Noisy noisy suite on 4th floor.,negative
no way to lock the door.,negative
